0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.map HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:55 +0800] "GET /microblog/scripts/common/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:56 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:57 +0800] "POST /microblog/myblog/register.form HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:49:58 +0800] "POST /microblog/myblog/register.form HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:51 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:51 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:53 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:53 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:56 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:56 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:57 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:57 +0800] "GET /microblog/scripts/assets/css/amazeui.min.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:57 +0800] "GET /microblog/styles/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:57 +0800] "GET /microblog/scripts/common/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:57 +0800] "GET /microblog/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:57 +0800] "GET /microblog/scripts/common/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:50:57 +0800] "GET /microblog/scripts/register.js HTTP/1.1" 304 -
